x_svgunits,dmochowski_timeseries,poulsen_timeseries,lab_results
74328.6454,0.067973,0.065941,0.051910
74563.3838,0.069555,0.077231,0.075920
74798.1222,0.076238,0.061738,0.067709
75032.8605,0.050106,0.072858,0.061581
75267.5989,0.047922,0.077551,0.065800
75502.3372,0.053366,0.105977,0.055997
75737.0756,0.058216,0.113117,0.080709
75971.8140,0.048129,0.118016,0.103714
76206.5523,0.065867,0.099299,0.144123
76441.2907,0.061538,0.089349,0.153794
76676.0291,0.083696,0.051824,0.150484
76910.7674,0.082883,0.039439,0.091362
77145.5058,0.078791,0.015656,0.087559
77380.2441,0.063507,0.031615,0.086071
77614.9825,0.050471,0.025763,0.063990
77849.7209,0.018544,0.026968,0.053840
78084.4592,0.008103,0.041866,0.037470
78319.1976,0.020669,0.080108,0.018704
78553.9359,0.031206,0.067609,-0.014444
78788.6743,0.037896,0.070027,0.011232
79023.4127,0.078626,0.074968,0.033035
79258.1510,0.151613,0.068407,0.054897
79492.8894,0.152917,0.037718,0.077357
79727.6278,0.150076,0.069298,0.073404
79962.3661,0.167927,0.089247,0.117796
80197.1045,0.142851,0.076101,0.131594
80431.8428,0.100793,0.065850,0.120276
80666.5812,0.110029,0.064855,0.133260
80901.3196,0.117317,0.043923,0.126320
81136.0579,0.101216,0.028753,0.074466
81370.7963,0.096043,0.038277,0.049792
81605.5347,0.096349,0.042714,0.045665
81840.2730,0.074325,0.028600,0.025579
82075.0114,0.042153,0.020305,0.078078
82309.7497,0.025328,0.009052,0.067301
82544.4881,0.016502,-0.001998,0.063240
82779.2265,0.002912,-0.001053,0.061236
83013.9648,0.000326,0.021488,0.046822
83248.7032,0.008074,0.024900,0.021971
83483.4416,0.038454,0.063931,0.013945
83718.1799,0.051853,0.091275,0.005148
83952.9183,0.070175,0.102621,0.027007
84187.6566,0.073037,0.077831,0.037118
84422.3950,0.068109,0.069967,0.066320
