timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
825.566667,0,70.1397,191,3.235,-23.679208125253272,-32.438650048664236,-33.40566719000006
825.6,0,70.9697,194,5.94216,-26.827148,-35.464572,-33.458
825.633333,0,72.3287,193,7.21017,-26.32087613227763,-35.10632815365136,-33.45833333
825.666667,0,72.2848,193,0.248796,-24.98566999831029,-36.1733460563916,-33.45866667
825.7,0,73.018,191,7.40126,-26.288336347332812,-37.359328636075105,-33.459
825.733333,0,72.9881,188,6.81717,-24.525000481134764,-33.99076617002077,-33.590998680000006
825.766667,0,72.936,188,3.83343,-23.538603440800077,-32.26852689472406,-33.723001319999995
825.8,0,73.1785,193,5.06443,-23.831395722074777,-33.486030125769865,-33.855
825.833333,0,73.1635,193,0.0569097,-25.058412167062862,-34.0009873273692,-33.735334529999726
825.866667,0,72.9299,192,7.00335,-23.48339636145855,-33.35716530487955,-33.61566546999987
825.9,0,72.2641,188,6.90816,-23.240546988141272,-32.556845912106844,-33.496
825.933333,0,71.3178,187,6.52528,-23.018061242909962,-32.144039547978956,-33.11333716000043
825.966667,0,70.6767,188,5.03933,-21.991007772839758,-31.62764820428391,-32.730662839999574
826.0,0,70.4552,194,1.76291,-21.298162491819934,-31.540539357662823,-32.348
826.033333,0,70.7925,190,4.18068,-22.28478555280544,-32.24208692954545,-31.81700531000059
826.066667,0,72.2147,189,6.31821,-21.742818797027184,-32.317739155908264,-31.28599468999941
826.1,0,73.2877,188,6.74723,-22.440730050344673,-32.26089337041223,-30.755
826.133333,0,73.6531,187,7.58299,-24.450059,-33.836174,-30.515002400000267
826.166667,0,73.6393,187,0.0528407,-18.20805205529293,-29.189794784719847,-30.274997600000553
826.2,0,73.2183,193,5.9123,-19.002105201103106,-30.038370221155592,-30.035
826.233333,0,73.2611,188,3.06247,-22.216517582618234,-31.908811095955137,-29.939667619999998
826.266667,0,73.2873,186,7.29554,-22.078055387078873,-31.697976786817513,-29.84433238
826.3,0,72.8507,198,7.79768,-22.045529777435263,-31.53403123489515,-29.749
826.333333,0,72.8396,198,0.0503223,-20.871891167147755,-30.272255357081825,-29.72233359999994
826.366667,0,71.653,191,6.85244,-20.999579718929567,-31.150547666992125,-29.695666399999972
826.4,0,70.8955,194,5.81271,-21.504714,-31.1611245,-29.669
826.433333,0,70.6852,194,2.55097,-21.34836452631935,-31.88829017142601,-30.003663319999628
826.466667,0,71.3507,194,5.40105,-21.943778845411728,-32.05127171107335,-30.33833668000037
826.5,0,72.6666,194,7.54436,-24.6661837123233,-33.89330598870328,-30.673
826.533333,0,72.6596,194,0.0290538,-21.55895731621824,-32.93987269663923,-30.944330619999697
826.566667,0,73.385,193,8.86345,-22.2740643930568,-33.52131628054837,-31.2156693800003
